entity1,relationship,entity2
Laptop,belongs_to,Electronics
Tablet,belongs_to,Electronics
Smartphone,belongs_to,Electronics
iPhone,is_a,Smartphone
iPad,is_a,Tablet
MacBook,is_a,Laptop
Electronics,managed_by,Amazon
Electronics,managed_by,Flipkart
Amazon,has_category,Electronics
Flipkart,has_category,Electronics
Product1,sold_by,Seller1
Product2,sold_by,Seller2
Product3,sold_by,Seller1
Seller1,partner_of,Amazon
Seller2,partner_of,Flipkart
Customer1,purchases_from,Amazon
Customer2,purchases_from,Flipkart
Customer1,reviewed,Product1
Customer2,reviewed,Product2
Product1,has_review,Review1
Review1,rated,5
Product2,has_review,Review2
Review2,rated,4
Laptop,priced_at,50000
Tablet,priced_at,20000
Smartphone,priced_at,30000
