entity1,relationship,entity2
Product_45,belongs_to_category,Fashion
Product_1033,belongs_to_category,Electronics
Product_1480,belongs_to_category,Grocery
Product_1613,similar_to,Product_746
Product_1403,bought_by,Customer_774
Product_1313,similar_to,Product_1547
Product_1505,complements,Product_167
Product_1719,bought_by,Customer_272
Product_1846,complements,Product_663
Product_1475,complements,Product_1498
Product_1784,sold_by,Seller_345
Product_1565,bought_by,Customer_1004
Product_1702,sold_by,Seller_166
Product_1823,reviewed_by,Customer_1809
Product_1992,complements,Product_1836
Product_1122,similar_to,Product_1616
Product_1007,reviewed_by,Customer_840
Product_1705,sold_by,Seller_375
Product_556,similar_to,Product_528
Product_9,bought_by,Customer_813
Product_1126,bought_by,Customer_1853
Product_575,bought_by,Customer_1762
Product_858,bought_by,Customer_1004
Product_365,bought_by,Customer_465
Product_634,reviewed_by,Customer_1411
Product_532,bought_by,Customer_254
Product_895,complements,Product_588
Product_1666,complements,Product_250
Product_1184,sold_by,Seller_456
Product_610,bought_by,Customer_356
Product_1367,reviewed_by,Customer_926
Product_1967,complements,Product_831
Product_508,bought_by,Customer_521
Product_442,similar_to,Product_313
Product_448,bought_by,Customer_1314
Product_152,complements,Product_411
Product_1113,belongs_to_category,Electronics
Product_1147,complements,Product_1143
Product_480,sold_by,Seller_104
Product_1392,sold_by,Seller_346
Product_348,sold_by,Seller_413
Product_1235,sold_by,Seller_434
Product_1831,complements,Product_1284
Product_1421,bought_by,Customer_1634
Product_663,belongs_to_category,Sports
Product_876,reviewed_by,Customer_1971
Product_1569,belongs_to_category,Beauty
Product_1884,similar_to,Product_4
Product_915,similar_to,Product_827
Product_1439,bought_by,Customer_1894
Product_561,sold_by,Seller_339
Product_716,complements,Product_1531
Product_410,similar_to,Product_1363
Product_1949,complements,Product_783
Product_276,belongs_to_category,Beauty
Product_3,reviewed_by,Customer_1661
Product_307,sold_by,Seller_343
Product_1885,similar_to,Product_545
Product_1760,belongs_to_category,Electronics
Product_421,complements,Product_1074
Product_1868,bought_by,Customer_141
Product_661,complements,Product_1643
Product_1629,sold_by,Seller_193
Product_505,similar_to,Product_1352
Product_25,complements,Product_1028
Product_910,sold_by,Seller_192
Product_1051,similar_to,Product_971
Product_281,bought_by,Customer_1155
